,FIPS,State,County,Risk of Severe Economic Harm,% Uninsured,% Children in Poverty,Income Ratio,% Single-Parent Households,% Severe Housing Cost Burden,% Severe Housing Problems,% Enrolled in Free or Reduced Lunch,% Unemployed,High School Graduation Rate
0,01001,Alabama,Autauga,49.04212586260171,11.14898915,19.3,5.2345972691,26.242679081,13.403481167999999,14.663461538,43.408673083000004,3.6290788612,90.0
1,01003,Alabama,Baldwin,40.99890136299653,14.348524769,13.9,4.4177666786000005,24.139601453,11.725807954,13.566200931,48.486564722,3.6153821564,86.361576801
2,01005,Alabama,Barbour,75.6746317849418,16.08583414,43.9,5.6814100186,56.603426045,14.059546314,14.583333332999999,63.292302039,5.1713842112,81.41025641
3,01007,Alabama,Bibb,48.876472001922615,13.0,27.8,4.3685805106,28.689236111,9.886874322,10.496453901,61.562115621000004,3.9718277335,83.763837638
4,01009,Alabama,Blount,39.85391561094517,17.082341882,18.0,4.4302623315,28.561827957,8.462257294199999,10.548011639,52.90628707,3.5111573222000003,93.468795356
5,01011,Alabama,Bullock,79.42029731863906,15.240963855,68.3,7.4101959944,74.78991596600001,18.501529052000002,18.143459915999998,75.786593707,4.6901172529,70.24793388399999
6,01013,Alabama,Butler,70.82689600714114,14.505765338,36.3,5.4235955818,52.712836348,11.545956479,13.159609120999999,79.15713819,4.790217635199999,81.58995815899999
7,01015,Alabama,Calhoun,66.27785216465821,15.388687124,26.5,5.0238964487,40.191944746,11.722432218,13.734191258,58.837593215,4.6528321587,92.368045649
8,01017,Alabama,Chambers,67.644281937721,15.226316844000001,30.7,4.7449321347,46.555443693,12.381027919000001,15.956678699999998,71.121351767,3.9080911232999997,86.23853211
9,01019,Alabama,Cherokee,48.83183987365675,13.940332682000001,24.7,4.7084650307,23.778749286999997,9.945695897,13.0,61.606243706,3.5708139735000004,94.904458599
10,01021,Alabama,Chilton,57.63724379441754,17.504683975,23.3,5.1076679484,34.885046551,12.159502191,13.29723225,60.770031216999996,3.6095707537,88.20598006600001
11,01023,Alabama,Choctaw,64.91313901191334,14.113012767999999,32.1,5.8600957202999995,48.06231003,9.3895761509,11.061151079000002,76.97320782,5.538985939500001,78.632478632
12,01025,Alabama,Clarke,74.26099495313628,15.315508021,31.7,8.4689826303,37.012743628,12.836438923,12.035583464,71.542979178,7.473449587,90.909090909
13,01027,Alabama,Clay,48.738284066330216,17.218458392,25.8,5.0792586055,30.039384175,7.9752066116,11.18359739,63.474620617,3.9074291463999997,89.80891719700001
14,01029,Alabama,Cleburne,51.71747862807704,16.840135657,22.9,4.7756800772000005,24.549483013000003,10.040907401,12.93916024,59.59752322,4.2486505311,98.02955665
15,01031,Alabama,Coffee,50.2471933257802,15.286789515,21.9,4.658772634,35.831885496999995,9.4576684515,12.103225806,48.376656215,3.9486957775,92.51700680299999
16,01033,Alabama,Colbert,58.3444913653998,12.121306087,21.0,4.7582009157,36.054775524,11.76300578,13.729925355999999,51.92165558,4.61776593,92.136752137
17,01035,Alabama,Conecuh,64.13636831805542,15.334374555999998,40.1,4.4522035786,50.756429652,8.9436789944,13.359528487,70.969387755,5.2291944814999995,80.373831776
18,01037,Alabama,Coosa,57.481031345487004,15.532754537999999,30.1,4.4343642229,39.513513514,9.6423017107,14.625445897999999,65.265486726,4.1819012797,82.716049383
19,01039,Alabama,Covington,62.140797198475646,15.291560344,29.5,4.9163307041,36.344301264,10.012140256,12.845849802,56.707912732,4.5783441122,94.902912621
20,01041,Alabama,Crenshaw,57.1711813781028,15.606361829,30.8,5.4902610309,40.585911784000004,8.7624405019,9.953917050700001,64.26690079,4.0806605272,89.08045977
21,01043,Alabama,Cullman,41.216912143372134,16.221000844000002,19.7,4.4355847083999995,25.417530836999997,9.941378473099999,12.306949807,50.773337521,3.2804652392,90.51987767600001
22,01045,Alabama,Dale,61.42153328526796,12.489711934,24.4,5.0630993588,32.775035261,12.905588103,13.620643787999999,62.593072192,4.2047713718,90.31620553399999
23,01047,Alabama,Dallas,84.37703848662753,13.707675944000002,48.0,6.0589055705999995,67.957055848,16.611317747,20.99378882,81.377393453,6.547779273200001,86.193293886
24,01049,Alabama,DeKalb,59.34528101074604,22.811601150999998,29.6,4.7936189608,33.876822030999996,9.8586824338,11.084240225999999,68.662493823,3.8169205749,92.74292742899999
25,01051,Alabama,Elmore,39.33807120541079,11.002439755,16.3,4.3829684287,31.288883995,10.283266746,11.370716511,48.771956505,3.4475345963,86.157253599
26,01053,Alabama,Escambia,67.11298794932536,18.948493485,32.8,5.5181557933,46.045437978,10.520696452000001,11.821204285,68.358154072,4.5707915273,87.79220779200001
27,01055,Alabama,Etowah,57.00381089710579,15.963500622,28.8,4.711496399,37.266487887,9.3443960827,11.222165992,58.093053735,4.1024689066,90.272052762
28,01057,Alabama,Fayette,60.38984447419921,14.528281864,37.4,4.9304376012999995,36.083956297,10.212443096,12.335766422999999,61.545064378,4.1190990435,91.803278689
29,01059,Alabama,Franklin,57.57372884265459,19.867693309,30.1,4.4014483284,42.277992278,7.8846522322000006,12.954253955,68.732715146,3.7316059987,92.10526315799999
30,01061,Alabama,Geneva,60.866206612421465,18.147149714,29.5,4.9818619989999995,40.86521889,11.672784477999999,10.18301267,59.229614807,3.9259054465,90.28776978399999
31,01063,Alabama,Greene,82.90846980464859,14.687699851,44.0,5.8778148906,77.00272479600001,18.979833925999998,19.323671498,85.474860335,6.7300916138,77.528089888
32,01065,Alabama,Hale,78.65640127716551,13.679745492999999,35.6,6.362011271599999,58.504187121,13.772819473,16.554621849,77.677873339,5.090969788,91.28205128200001
33,01067,Alabama,Henry,52.47708311875578,15.305598355999999,27.2,4.8983823919,25.112485939000003,8.9369708373,10.688140556,57.484787018,4.4339343778,97.90575916200001
34,01069,Alabama,Houston,63.00254059807054,14.437049452,21.9,5.1415914861,42.250425117,12.380573248,13.451035184,64.20998522100001,4.0420819491,90.917431193
35,01071,Alabama,Jackson,55.16960208741032,16.490472461,26.8,5.040583263399999,30.896800361,10.335556034,10.804712961,57.12132629999999,4.109117507900001,90.11725293100001
36,01073,Alabama,Jefferson,63.869433858619146,12.695996769,22.6,5.3402985075,42.576156874,15.13814359,16.762486868,52.876546327,3.7116179532999998,88.73381114
37,01075,Alabama,Lamar,43.373845572836196,14.497570954,25.3,5.0492538312,21.061251228,7.0508231926,10.648918469,58.894935118999996,3.8105226359,94.285714286
38,01077,Alabama,Lauderdale,50.606825282384044,14.070305780999998,17.9,4.5232429162,32.681518601,10.913238244,12.591240875999999,49.126809314,4.1906931492,94.385285576
39,01079,Alabama,Lawrence,53.2418374703883,17.454637097,31.4,4.9015490176,29.700499168,9.1666666667,10.623123123,61.274716029,4.1885192901999995,88.055555556
40,01081,Alabama,Lee,60.26538950115013,12.776888497,19.3,6.3365767089,35.808218376,17.499911294,19.231433506,46.932347877,3.6207035122000004,91.14302812700001
41,01083,Alabama,Limestone,38.19222714320047,14.052032750999999,15.8,5.1272066936,25.630548119,9.517647439400001,11.301636789000002,41.848467897,3.5453966457,92.007434944
42,01085,Alabama,Lowndes,85.88337281560065,13.819350474,39.6,6.478165013099999,67.505422993,16.730349345,19.45754717,96.309192201,7.3103448276,91.304347826
43,01087,Alabama,Macon,81.18584131561781,13.075953050999999,39.7,6.7510675025,60.011954573000004,18.252914269,19.89892609,97.259565667,5.463152507699999,80.0
44,01089,Alabama,Madison,43.897414769801216,11.833237482000001,16.9,5.2404808813,30.058281584,11.047094722999999,11.943551268,39.471852768000005,3.4603231118,93.194374686
45,01091,Alabama,Marengo,77.79894942836545,12.558474271,34.5,7.4839429513999995,43.710832587,15.490661133,18.098159509000002,67.566165023,5.0072473317,90.909090909
46,01093,Alabama,Marion,50.56219315411818,14.475942475,27.4,4.7880871297,26.485623003,9.5042031223,11.133360032,57.733097658,4.0879751375,90.217391304
47,01095,Alabama,Marshall,61.48247330655406,20.797720798,27.9,4.9171490988999995,34.372194434,12.020631068,13.929193267999999,61.04695919899999,3.3827879243,92.289348172
48,01097,Alabama,Mobile,74.81803824630069,15.248283052,31.4,5.2716083606,44.07217287100001,14.773927884,16.618047452,68.389541369,4.6946202363,83.709920379
49,01099,Alabama,Monroe,74.07989150959591,16.324551479,31.6,8.4020367501,56.178861788999995,12.884358289000001,10.523150932,66.915995397,6.1749091925,88.030888031
50,01101,Alabama,Montgomery,74.1365399800872,14.337316552,31.3,5.4882044561,51.937517643999996,16.990724121,18.304164821,71.474131821,3.9960598225,81.608133087
51,01103,Alabama,Morgan,47.31692244309404,14.872561583,20.1,4.5953668693,31.042357274,10.176970916,13.440918445,52.025477707,3.5197642841000003,90.196078431
52,01105,Alabama,Perry,84.93408177979195,15.054876786,52.8,4.7147055942,75.93040116,18.47826087,17.8125,90.96965211,6.5351780983,93.069306931
53,01107,Alabama,Pickens,71.58564218766094,14.614957423,30.8,5.8220673802,43.441183848,11.427736373,14.238845144,72.48243559699999,4.5611787316,98.181818182
54,01109,Alabama,Pike,75.90809214817867,15.981552035,30.6,6.9534747745,46.416487235,16.404788627000002,15.78125,73.367446394,4.504267892300001,87.28522336799999
55,01111,Alabama,Randolph,64.48570055275175,16.790123457,31.4,5.0904265906,38.832176399,10.934317719000001,15.132336018,61.489019818,4.0155168798,91.80887372
56,01113,Alabama,Russell,72.99584577883064,14.886628828,31.6,5.1985548225,46.214909432,15.595989603,16.789791807,68.522596204,4.0205447733,88.14589665700001
57,01115,Alabama,St. Clair,35.52116592851993,12.920792079000002,15.0,4.2151133072,26.323713926999996,10.06700547,10.556079171,47.319329643,3.4951994557,88.405797101
58,01117,Alabama,Shelby,23.438733820853503,9.9107638247,8.9,4.1800783881,19.338214812,9.1641950952,10.554385041,29.498703544,2.8514230541,94.22158548200001
59,01119,Alabama,Sumter,82.87671232876713,14.001657001,48.1,7.560845304500001,58.802537668999996,18.283166109,23.258196720999997,94.317439582,5.8934563758000005,76.97841726600001
60,01121,Alabama,Talladega,66.08129913825664,13.124557906,26.4,5.0086977531,45.780863833999994,11.634589682,13.175460903,67.629861876,4.2798330379000005,92.70239452700001
61,01123,Alabama,Tallapoosa,70.45610601847083,15.074818298,30.7,5.5557963163999995,43.519494204,13.442260122,17.074663403,58.549309996999995,4.1863605672,89.892473118
62,01125,Alabama,Tuscaloosa,60.498849864387005,11.727262077,20.9,5.017339356,37.560155118000004,15.220118530999999,17.057069847,53.47826087,3.6566275143,88.524590164
63,01127,Alabama,Walker,55.06402993785834,14.984980152,24.7,5.0501617171,32.08887014,10.229156924,12.264338162,52.394663595,4.249562311,90.358467244
64,01129,Alabama,Washington,59.481752326020526,17.545659758,25.8,5.0490407748,40.488466757,7.7526450201,10.057236304,61.50690041,5.834708264600001,92.67241379299999
65,01131,Alabama,Wilcox,74.8489374120232,13.669542137,50.6,5.7628439936,60.888030888,11.02765449,12.664907652,94.208037825,9.5830285296,83.216783217
66,01133,Alabama,Winston,51.72777834998455,16.041179907,27.6,4.3535994462,31.573644973,8.7790227562,10.492845787,57.07582119,4.1918004294,92.85714285700001
67,02013,Alaska,Aleutians East,34.68688845401175,29.156193895999998,12.5,4.2420611354,50.622406639,10.20979021,12.658227848,3.9647577093,2.9728565274000003,88.888888889
68,02016,Alaska,Aleutians West,28.939643629622,20.861878453,8.1,3.0137887678,32.788671024,8.579088471799999,18.987341772,20.449897750999998,3.540802213,90.625
69,02020,Alaska,Anchorage,48.835273114292576,14.687387951,12.1,3.837479855,29.930266530999997,12.816129279,16.218919691,46.511289451,5.4939124712,80.60910869
70,02050,Alaska,Bethel,71.17966148247329,27.330405075999998,41.2,5.6724592939,36.344969199,10.166542381000001,60.263446762,89.940142885,12.77027027,61.676646706999996
71,02060,Alaska,Bristol Bay,48.26449685858481,18.374558304,15.2,3.8837017749,35.567010309000004,4.0404040404,15.277777777999999,85.833333333,6.349206349199999,85.365853659
72,02068,Alaska,Denali,25.877192982456137,15.367965368,7.3,3.1482485095999997,15.352697095,4.6280991736,26.241134751999997,1.2461059190000001,7.8125,64.705882353
73,02070,Alaska,Dillingham,68.88196518693995,21.711409396,31.6,4.6623393153,40.052700922,9.9588477366,37.818181818,96.880733945,8.1894425259,67.088607595
74,02090,Alaska,Fairbanks North Star,44.671610533182275,15.154542818,9.4,3.6745046518,28.346028292,13.933015434000001,23.792663929,22.236444625999997,5.8024771697,73.877917415
75,02100,Alaska,Haines,41.198887630033994,19.561007100999998,16.4,4.1029100795,22.326454034,3.2494758910000003,25.213675214000002,57.249070632,9.5238095238,78.260869565
