,FIPS,State,County,Severe COVID Case Complications,covid_cases,Years of Potential Life Lost Rate,% Fair or Poor Health,% Smokers,% Adults with Obesity,% 65 and over,% Adults with Diabetes
0,01001,Alabama,Autauga,60.411683699354924,661,8128.5911903,20.882987328,18.08155718,33.3,15.562669735999998,11.1
1,01003,Alabama,Baldwin,60.85562078712764,1131,7354.122529800001,17.50913436,17.489032597,31.0,20.443349754,10.7
2,01005,Alabama,Barbour,80.60629122272958,371,10253.573403,29.591801708000002,21.999984528000002,41.7,19.420441301,17.6
3,01007,Alabama,Bibb,66.50539972457781,211,11977.539484,19.439724157,19.114199885,37.6,16.473214285999997,14.5
4,01009,Alabama,Blount,69.8086540552294,282,11335.071134,21.745292814000003,19.20867197,33.8,18.236514523,17.0
5,01011,Alabama,Bullock,78.3594259621657,375,11679.558981,30.999101851,22.894664011,37.2,16.38390215,23.7
6,01013,Alabama,Butler,86.89570196419511,646,14359.939103,27.910673184,21.765334963,43.3,20.299796748,19.2
7,01015,Alabama,Calhoun,77.73429006305719,445,12078.616145,23.107733221,20.612560375,38.5,17.717475957999998,17.5
8,01017,Alabama,Chambers,82.00514604624192,672,11112.536614,23.995473603,19.392927053,40.1,19.521047152,19.9
9,01019,Alabama,Cherokee,66.95296078857723,115,12349.707594,20.698470599,17.498673785,35.0,22.971727105,15.2
10,01021,Alabama,Chilton,71.33616003479017,295,10019.3128,21.185462911,20.188979064,37.7,16.784816434,18.6
11,01023,Alabama,Choctaw,78.6439080959629,203,12479.822147,24.863531285,18.79324829,41.3,22.996651351,17.4
12,01025,Alabama,Clarke,76.08356889178806,295,11144.037370999999,25.23508481,20.579655316,34.1,19.870401338,22.4
13,01027,Alabama,Clay,66.80437776328188,74,10461.83432,23.795917414,19.620354153,40.6,20.723163842,13.5
14,01029,Alabama,Cleburne,55.83278973689932,41,11087.984454000001,19.284407812,18.374465772,37.3,19.450190165,12.5
15,01031,Alabama,Coffee,62.917663260129025,412,8175.362392100001,19.425826811,17.444757594000002,34.2,16.954670674000003,16.1
16,01033,Alabama,Colbert,69.94092918750454,474,10644.992124,20.914454347,18.658821060999998,30.6,19.929878383,16.2
17,01035,Alabama,Conecuh,81.89461477132707,229,10822.452428,28.608747789000002,21.107512965,43.0,22.497352773000003,25.9
18,01037,Alabama,Coosa,73.24237153004276,62,12691.204176000001,24.919103283000002,20.399965623,40.3,23.15445637,20.8
19,01039,Alabama,Covington,72.89809378850474,412,11418.122816,22.668806251,19.249451541,31.7,21.062023468,15.3
20,01041,Alabama,Crenshaw,68.01297383489164,131,9944.644470000001,22.146936238000002,18.646929565,38.0,19.017650463,18.2
21,01043,Alabama,Cullman,74.42922374429223,549,10182.18218,21.786493693,17.901071221,36.9,18.511061576,19.3
22,01045,Alabama,Dale,72.74407479886932,365,10467.436009000001,23.433107031,20.057394929,37.2,16.892719993,15.8
23,01047,Alabama,Dallas,85.74146553598608,971,14717.166071000001,29.826897822,24.088991006999997,43.1,18.06577917,15.9
24,01049,Alabama,DeKalb,70.41023410886423,851,10747.783715000001,25.958981492,21.028270793,29.2,17.261329411,12.8
